groupid,p1011,p1112,p12,p121,p23,p34,p45,p56,p89,p910
a8-mon,null,null,null,MA102,null,null,null,null,null,null
a7-fri,null,null,null,null,null,null,null,null,null,null
a7-thu,null,null,MA102,null,null,null,null,null,null,null
a7-wed,null,null,null,null,null,null,null,null,null,null
a7-tue,MA102,null,null,null,null,null,null,null,null,null
a7-mon,null,null,null,null,null,null,MA102,MA102,null,null
a6-fri,null,null,null,null,null,null,null,null,MA102,MA102
a6-thu,null,null,null,null,null,null,null,null,null,null
a6-wed,null,null,MA102,null,null,null,null,null,null,null
a6-tue,null,null,null,null,null,MA102,null,null,null,null
a6-mon,null,null,null,null,null,null,null,null,null,null
a5-fri,null,null,null,null,null,null,null,null,MA102,MA102
a5-thu,null,null,null,null,null,MA102,null,null,null,null
a5-wed,null,null,null,null,null,null,null,null,null,null
a5-tue,null,null,null,null,null,null,null,null,null,null
a5-mon,MA102,null,null,null,null,null,null,null,null,null
a4-fri,null,null,null,null,null,null,null,null,null,null
a4-thu,null,null,null,null,null,null,null,null,null,null
a4-wed,null,null,null,null,null,null,null,null,null,null
a4-tue,null,null,null,null,null,null,null,null,null,null
a4-mon,null,null,null,null,null,null,null,null,null,null
a3-fri,null,MA102,null,null,null,null,null,null,null,null
a3-thu,null,null,MA102,null,null,null,null,null,null,null
a3-wed,null,null,null,null,null,null,null,null,null,null
a3-tue,null,null,null,null,null,null,null,null,null,null
a3-mon,null,null,null,null,null,null,null,null,MA102,MA102
a2-fri,null,null,null,null,null,null,null,null,null,null
a2-thu,null,null,null,null,null,null,MA102,MA102,null,null
a2-wed,null,null,MA102,null,null,null,null,null,null,null
a2-tue,null,null,null,null,null,null,null,null,null,MA102
a2-mon,null,null,null,null,null,null,null,null,null,null
a1-fri,null,null,null,null,MA102,null,null,null,null,null
a1-thu,null,null,null,null,null,null,null,null,null,null
a1-wed,null,null,null,null,null,null,null,null,null,null
a1-tue,null,null,null,null,null,null,MA102,MA102,null,null
a1-mon,null,null,null,null,MA102,null,null,null,null,null
